sample_id,domain,condition,study_id
01f203fd-e664-4d78-bea0-7c40cf_D2,CPTAC,Breast,PDC000120
071be0fb-b7fd-4165-b3c5-348352,CPTAC,Breast,PDC000120
079b5600-6afc-4785-bb22-48cfab_D2,CPTAC,Breast,PDC000120
09659708-7747-4d59-a3b9-e221e0_D2,CPTAC,Breast,PDC000120
0a80d3c4-0758-447a-958c-ea868c,CPTAC,Breast,PDC000120
0bb9d596-774e-452b-9c89-a6643c_D2,CPTAC,Breast,PDC000120
0ecabbfa-8095-4875-acdb-051582_D1,CPTAC,Breast,PDC000120
0edcba67-0714-4b04-b433-77834e_D2,CPTAC,Breast,PDC000120
12110cb8-8da4-4461-ac1a-1af490_D2,CPTAC,Breast,PDC000120
12ce8313-6c54-4bee-a996-1aa7f8_D2,CPTAC,Breast,PDC000120
150c2086-1815-40d2-bc5d-8eeb48_D2,CPTAC,Breast,PDC000120
1664b920-5e60-4e3b-9aab-fe121c,CPTAC,Breast,PDC000120
1740224c-32d1-4c9f-98c6-653363,CPTAC,Breast,PDC000120
17d55745-4ab3-4a80-a182-af938b_D2,CPTAC,Breast,PDC000120
1990853a-0e82-40b3-a025-91cdc1_D2,CPTAC,Breast,PDC000120
1ae5772a-ba49-4c00-b890-7513d0_D2,CPTAC,Breast,PDC000120
1f5a9aad-61a1-4a64-a9b0-38cd2b_D2,CPTAC,Breast,PDC000120
1fb9fca2-cf63-41f2-9381-d9108c,CPTAC,Breast,PDC000120
20506075-36a7-4754-8e5e-628918,CPTAC,Breast,PDC000120
2386c36d-8d5d-4fd4-bbfa-39cc8d_D2,CPTAC,Breast,PDC000120
241c8dec-b317-4794-8cc2-07c14c_D2,CPTAC,Breast,PDC000120
241ecd0e-89bd-4d3a-81b3-55a250,CPTAC,Breast,PDC000120
25db2586-55b0-4456-9bba-c24e06_D2,CPTAC,Breast,PDC000120
26ecef2d-fcf3-4b85-9647-5e5d29_D1,CPTAC,Breast,PDC000120
2dc74c29-2e89-4600-80bf-1e3637_D2,CPTAC,Breast,PDC000120
2e700669-85b0-43fa-a9c7-3eaf5a_D2,CPTAC,Breast,PDC000120
2f398497-d53e-4838-8006-d60f3e_D2,CPTAC,Breast,PDC000120
314de592-f356-4801-8ace-278173_D2,CPTAC,Breast,PDC000120
31b13596-554e-452f-91a4-7e67a8_D2,CPTAC,Breast,PDC000120
3208e021-1dae-42fd-bd36-0f3c3d,CPTAC,Breast,PDC000120
32944ee6-428e-44fc-97d6-22665e,CPTAC,Breast,PDC000120
3324361b-df55-4e53-a2ef-4f8df2_D2,CPTAC,Breast,PDC000120
3367406e-d39c-4641-a3e7-44e1f3,CPTAC,Breast,PDC000120
33adae13-5dbd-4530-a5d5-3763e4,CPTAC,Breast,PDC000120
358296ad-e2a7-40cd-849e-8590fd_D2,CPTAC,Breast,PDC000120
3799eeb5-c966-4059-a78f-ace269_D2,CPTAC,Breast,PDC000120
392b8aa4-9f99-4250-b693-326260_D2,CPTAC,Breast,PDC000120
39f81c85-1832-45eb-829a-3040ad,CPTAC,Breast,PDC000120
3b177fd6-e7d2-4312-bec7-4a253d_D2,CPTAC,Breast,PDC000120
3bbf4310-6a83-4d3b-8772-a5dbb6_D2,CPTAC,Breast,PDC000120
3f52e236-1daa-4aa0-9a77-e3d043_D2,CPTAC,Breast,PDC000120
3f957017-d081-45f4-b458-ec3f8d_D2,CPTAC,Breast,PDC000120
3fd68501-514a-4a30-9ce1-2fca26_D1,CPTAC,Breast,PDC000120
3fdf0dbe-e05c-465f-8bed-4a92dd_D2,CPTAC,Breast,PDC000120
413d7d87-7b86-4b76-af93-8e8136_D2,CPTAC,Breast,PDC000120
428de0d4-7f84-4075-bae1-352af6,CPTAC,Breast,PDC000120
42cc89e1-a896-4f57-b8d9-e7fe56_D2,CPTAC,Breast,PDC000120
433c2eb6-560f-4387-93af-6c2e1a_D2,CPTAC,Breast,PDC000120
436297af-feb7-4754-96b7-c5bfb5_D2,CPTAC,Breast,PDC000120
436db08d-c316-44b5-b0de-62617d_D2,CPTAC,Breast,PDC000120
4533a2d6-e850-43f3-9c44-621c07_D2,CPTAC,Breast,PDC000120
45b99ac4-0859-4a3d-8b1e-ce5590_D2,CPTAC,Breast,PDC000120
4683de9c-49ca-4ddd-9d1a-be8121_D2,CPTAC,Breast,PDC000120
